,State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
0,AZ,Pima County,4,19,4/10/2020,2,,,,
1,AZ,Pima County,4,19,4/11/2020,2,,,,
2,AZ,Pima County,4,19,4/12/2020,2,,,,
3,AZ,Pima County,4,19,4/13/2020,2,,,,
4,AZ,Pima County,4,19,4/14/2020,2,,,,
5,AZ,Pima County,4,19,4/15/2020,2,,,,
6,AZ,Pima County,4,19,4/16/2020,2,,,,
7,AZ,Pima County,4,19,4/17/2020,2,,,,
8,AZ,Pima County,4,19,4/18/2020,2,,,,
9,AZ,Pima County,4,19,4/19/2020,2,,,,
10,AZ,Pima County,4,19,4/20/2020,2,,,,
11,AZ,Pima County,4,19,4/21/2020,2,,,,
12,AZ,Pima County,4,19,4/22/2020,2,,,,
13,AZ,Pima County,4,19,4/23/2020,2,,,,
14,AZ,Pima County,4,19,4/24/2020,2,,,,
15,AZ,Pima County,4,19,4/25/2020,2,,,,
16,AZ,Pima County,4,19,4/26/2020,2,,,,
17,AZ,Pima County,4,19,4/27/2020,2,,,,
18,AZ,Pima County,4,19,4/28/2020,2,,,,
19,AZ,Pima County,4,19,4/29/2020,2,,,,
20,AZ,Pima County,4,19,4/30/2020,2,,,,
21,AZ,Pima County,4,19,5/1/2020,2,,,,
22,AZ,Pima County,4,19,5/2/2020,2,,,,
23,AZ,Pima County,4,19,5/3/2020,2,,,,
24,AZ,Pima County,4,19,5/4/2020,2,,,,
25,AZ,Pima County,4,19,5/5/2020,2,,,,
26,AZ,Pima County,4,19,5/6/2020,2,,,,
27,AZ,Pima County,4,19,5/7/2020,2,,,,
28,AZ,Pima County,4,19,5/8/2020,2,,,,
29,AZ,Pima County,4,19,5/9/2020,2,,,,
30,AZ,Pima County,4,19,5/10/2020,2,,,,
31,AZ,Pima County,4,19,5/11/2020,2,,,,
32,AZ,Pima County,4,19,5/12/2020,2,,,,
33,AZ,Pima County,4,19,5/13/2020,2,,,,
34,AZ,Pima County,4,19,5/14/2020,2,,,,
35,AZ,Pima County,4,19,5/15/2020,2,,,,
36,AZ,Pima County,4,19,5/16/2020,2,,,,
37,AZ,Pima County,4,19,5/17/2020,2,,,,
38,AZ,Pima County,4,19,5/18/2020,2,,,,
39,AZ,Pima County,4,19,5/19/2020,2,,,,
40,AZ,Pima County,4,19,5/20/2020,2,,,,
41,AZ,Pima County,4,19,5/21/2020,2,,,,
42,AZ,Pima County,4,19,5/22/2020,2,,,,
43,AZ,Pima County,4,19,5/23/2020,2,,,,
44,AZ,Pima County,4,19,5/24/2020,2,,,,
45,AZ,Pima County,4,19,5/25/2020,2,,,,
46,AZ,Pima County,4,19,5/26/2020,2,,,,
47,AZ,Pima County,4,19,5/27/2020,2,,,,
48,AZ,Pima County,4,19,5/28/2020,2,,,,
49,AZ,Pima County,4,19,5/29/2020,2,,,,
50,AZ,Pima County,4,19,5/30/2020,2,,,,
51,AZ,Pima County,4,19,5/31/2020,2,,,,
52,AZ,Pima County,4,19,6/1/2020,2,,,,
53,AZ,Pima County,4,19,6/2/2020,2,,,,
54,AZ,Pima County,4,19,6/3/2020,2,,,,
55,AZ,Pima County,4,19,6/4/2020,2,,,,
56,AZ,Pima County,4,19,6/5/2020,2,,,,
57,AZ,Pima County,4,19,6/6/2020,2,,,,
58,AZ,Pima County,4,19,6/7/2020,2,,,,
59,AZ,Pima County,4,19,6/8/2020,2,,,,
60,AZ,Pima County,4,19,6/9/2020,2,,,,
61,AZ,Pima County,4,19,6/10/2020,2,,,,
62,AZ,Pima County,4,19,6/11/2020,2,,,,
63,AZ,Pima County,4,19,6/12/2020,2,,,,
64,AZ,Pima County,4,19,6/13/2020,2,,,,
65,AZ,Pima County,4,19,6/14/2020,2,,,,
66,AZ,Pima County,4,19,6/15/2020,2,,,,
67,AZ,Pima County,4,19,6/16/2020,2,,,,
68,AZ,Pima County,4,19,6/17/2020,2,,,,
69,AZ,Pima County,4,19,6/18/2020,2,,,,
70,AZ,Pima County,4,19,6/19/2020,2,,,,
71,AZ,Pima County,4,19,6/20/2020,2,,,,
72,AZ,Pima County,4,19,6/21/2020,2,,,,
73,AZ,Pima County,4,19,6/22/2020,2,,,,
74,AZ,Pima County,4,19,6/23/2020,2,,,,
75,AZ,Pima County,4,19,6/24/2020,2,,,,
76,AZ,Pima County,4,19,6/25/2020,2,,,,
77,AZ,Pima County,4,19,6/26/2020,2,,,,
78,AZ,Pima County,4,19,6/27/2020,2,,,,
79,AZ,Pima County,4,19,6/28/2020,2,,,,
80,AZ,Pima County,4,19,6/29/2020,2,,,,
81,AZ,Pima County,4,19,6/30/2020,2,,,,
82,AZ,Pima County,4,19,7/1/2020,2,,,,
83,AZ,Pima County,4,19,7/2/2020,2,,,,
84,AZ,Pima County,4,19,7/3/2020,2,,,,
85,AZ,Pima County,4,19,7/4/2020,2,,,,
86,AZ,Pima County,4,19,7/5/2020,2,,,,
87,AZ,Pima County,4,19,7/6/2020,2,,,,
88,AZ,Pima County,4,19,7/7/2020,2,,,,
89,AZ,Pima County,4,19,7/8/2020,2,,,,
90,AZ,Pima County,4,19,7/9/2020,2,,,,
91,AZ,Pima County,4,19,7/10/2020,2,,,,
92,AZ,Pima County,4,19,7/11/2020,2,,,,
93,AZ,Pima County,4,19,7/12/2020,2,,,,
94,AZ,Pima County,4,19,7/13/2020,2,,,,
95,AZ,Pima County,4,19,7/14/2020,2,,,,
96,AZ,Pima County,4,19,7/15/2020,2,,,,
97,AZ,Pima County,4,19,7/16/2020,2,,,,
98,AZ,Pima County,4,19,7/17/2020,2,,,,
99,AZ,Pima County,4,19,7/18/2020,2,,,,
100,AZ,Pima County,4,19,7/19/2020,2,,,,
101,AZ,Pima County,4,19,7/20/2020,2,,,,
102,AZ,Pima County,4,19,7/21/2020,2,,,,
103,AZ,Pima County,4,19,7/22/2020,2,,,,
104,AZ,Pima County,4,19,7/23/2020,2,,,,
105,AZ,Pima County,4,19,7/24/2020,2,,,,
106,AZ,Pima County,4,19,7/25/2020,2,,,,
107,AZ,Pima County,4,19,7/26/2020,2,,,,
108,AZ,Pima County,4,19,7/27/2020,2,,,,
109,AZ,Pima County,4,19,7/28/2020,2,,,,
110,AZ,Pima County,4,19,7/29/2020,2,,,,
111,AZ,Pima County,4,19,7/30/2020,2,,,,
112,AZ,Pima County,4,19,7/31/2020,2,,,,
113,AZ,Pima County,4,19,8/1/2020,2,,,,
114,AZ,Pima County,4,19,8/2/2020,2,,,,
115,AZ,Pima County,4,19,8/3/2020,2,,,,
116,AZ,Pima County,4,19,8/4/2020,2,,,,
117,AZ,Pima County,4,19,8/5/2020,2,,,,
118,AZ,Pima County,4,19,8/6/2020,2,,,,
119,AZ,Pima County,4,19,8/7/2020,2,,,,
120,AZ,Pima County,4,19,8/8/2020,2,,,,
121,AZ,Pima County,4,19,8/9/2020,2,,,,
122,AZ,Pima County,4,19,8/10/2020,2,,,,
123,AZ,Pima County,4,19,8/11/2020,2,,,,
124,AZ,Pima County,4,19,8/12/2020,2,,,,
125,AZ,Pima County,4,19,8/13/2020,2,,,,
126,AZ,Pima County,4,19,8/14/2020,2,,,,
127,AZ,Pima County,4,19,8/15/2020,2,,,,
128,AZ,Pima County,4,19,8/16/2020,2,,,,
129,AZ,Pima County,4,19,8/17/2020,2,,,,
130,AZ,Pima County,4,19,8/18/2020,2,,,,
131,AZ,Pima County,4,19,8/19/2020,2,,,,
132,AZ,Pima County,4,19,8/20/2020,2,,,,
133,AZ,Pima County,4,19,8/21/2020,2,,,,
134,AZ,Pima County,4,19,8/22/2020,2,,,,
135,AZ,Pima County,4,19,8/23/2020,2,,,,
136,AZ,Pima County,4,19,8/24/2020,2,,,,
137,AZ,Pima County,4,19,8/25/2020,2,,,,
138,AZ,Pima County,4,19,8/26/2020,2,,,,
139,AZ,Pima County,4,19,8/27/2020,2,,,,
140,AZ,Pima County,4,19,8/28/2020,2,,,,
141,AZ,Pima County,4,19,8/29/2020,2,,,,
142,AZ,Pima County,4,19,8/30/2020,2,,,,
143,AZ,Pima County,4,19,8/31/2020,2,,,,
144,AZ,Pima County,4,19,9/1/2020,2,,,,
145,AZ,Pima County,4,19,9/2/2020,2,,,,
146,AZ,Pima County,4,19,9/3/2020,2,,,,
147,AZ,Pima County,4,19,9/4/2020,2,,,,
148,AZ,Pima County,4,19,9/5/2020,2,,,,
149,AZ,Pima County,4,19,9/6/2020,2,,,,
150,AZ,Pima County,4,19,9/7/2020,2,,,,
151,AZ,Pima County,4,19,9/8/2020,2,,,,
152,AZ,Pima County,4,19,9/9/2020,2,,,,
153,AZ,Pima County,4,19,9/10/2020,2,,,,
154,AZ,Pima County,4,19,9/11/2020,2,,,,
155,AZ,Pima County,4,19,9/12/2020,2,,,,
156,AZ,Pima County,4,19,9/13/2020,2,,,,
157,AZ,Pima County,4,19,9/14/2020,2,,,,
158,AZ,Pima County,4,19,9/15/2020,2,,,,
159,AZ,Pima County,4,19,9/16/2020,2,,,,
160,AZ,Pima County,4,19,9/17/2020,2,,,,
161,AZ,Pima County,4,19,9/18/2020,2,,,,
162,AZ,Pima County,4,19,9/19/2020,2,,,,
163,AZ,Pima County,4,19,9/20/2020,2,,,,
164,AZ,Pima County,4,19,9/21/2020,2,,,,
165,AZ,Pima County,4,19,9/22/2020,2,,,,
166,AZ,Pima County,4,19,9/23/2020,2,,,,
167,AZ,Pima County,4,19,9/24/2020,2,,,,
168,AZ,Pima County,4,19,9/25/2020,2,,,,
169,AZ,Pima County,4,19,9/26/2020,2,,,,
170,AZ,Pima County,4,19,9/27/2020,2,,,,
171,AZ,Pima County,4,19,9/28/2020,2,,,,
172,AZ,Pima County,4,19,9/29/2020,2,,,,
173,AZ,Pima County,4,19,9/30/2020,2,,,,
174,AZ,Pima County,4,19,10/1/2020,2,,,,
175,AZ,Pima County,4,19,10/2/2020,2,,,,
176,AZ,Pima County,4,19,10/3/2020,2,,,,
177,AZ,Pima County,4,19,10/4/2020,2,,,,
178,AZ,Pima County,4,19,10/5/2020,2,,,,
179,AZ,Pima County,4,19,10/6/2020,2,,,,
180,AZ,Pima County,4,19,10/7/2020,2,,,,
181,AZ,Pima County,4,19,10/8/2020,2,,,,
182,AZ,Pima County,4,19,10/9/2020,2,,,,
183,AZ,Pima County,4,19,10/10/2020,2,,,,
184,AZ,Pima County,4,19,10/11/2020,2,,,,
185,AZ,Pima County,4,19,10/12/2020,2,,,,
186,AZ,Pima County,4,19,10/13/2020,2,,,,
187,AZ,Pima County,4,19,10/14/2020,2,,,,
188,AZ,Pima County,4,19,10/15/2020,2,,,,
189,AZ,Pima County,4,19,10/16/2020,2,,,,
190,AZ,Pima County,4,19,10/17/2020,2,,,,
191,AZ,Pima County,4,19,10/18/2020,2,,,,
192,AZ,Pima County,4,19,10/19/2020,2,,,,
193,AZ,Pima County,4,19,10/20/2020,2,,,,
194,AZ,Pima County,4,19,10/21/2020,2,,,,
195,AZ,Pima County,4,19,10/22/2020,2,,,,
196,AZ,Pima County,4,19,10/23/2020,2,,,,
197,AZ,Pima County,4,19,10/24/2020,2,,,,
198,AZ,Pima County,4,19,10/25/2020,2,,,,
199,AZ,Pima County,4,19,10/26/2020,2,,,,
200,AZ,Pima County,4,19,10/27/2020,2,,,,
201,AZ,Pima County,4,19,10/28/2020,2,,,,
202,AZ,Pima County,4,19,10/29/2020,2,,,,
203,AZ,Pima County,4,19,10/30/2020,2,,,,
204,AZ,Pima County,4,19,10/31/2020,2,,,,
205,AZ,Pima County,4,19,11/1/2020,2,,,,
206,AZ,Pima County,4,19,11/2/2020,2,,,,
207,AZ,Pima County,4,19,11/3/2020,2,,,,
208,AZ,Pima County,4,19,11/4/2020,2,,,,
209,AZ,Pima County,4,19,11/5/2020,2,,,,
210,AZ,Pima County,4,19,11/6/2020,2,,,,
211,AZ,Pima County,4,19,11/7/2020,2,,,,
212,AZ,Pima County,4,19,11/8/2020,2,,,,
213,AZ,Pima County,4,19,11/9/2020,2,,,,
214,AZ,Pima County,4,19,11/10/2020,2,,,,
215,AZ,Pima County,4,19,11/11/2020,2,,,,
216,AZ,Pima County,4,19,11/12/2020,2,,,,
217,AZ,Pima County,4,19,11/13/2020,2,,,,
218,AZ,Pima County,4,19,11/14/2020,2,,,,
219,AZ,Pima County,4,19,11/15/2020,2,,,,
220,AZ,Pima County,4,19,11/16/2020,2,,,,
221,AZ,Pima County,4,19,11/17/2020,2,,,,
222,AZ,Pima County,4,19,11/18/2020,2,,,,
223,AZ,Pima County,4,19,11/19/2020,2,,,,
224,AZ,Pima County,4,19,11/20/2020,2,,,,
225,AZ,Pima County,4,19,11/21/2020,2,,,,
226,AZ,Pima County,4,19,11/22/2020,2,,,,
227,AZ,Pima County,4,19,11/23/2020,2,,,,
228,AZ,Pima County,4,19,11/24/2020,2,,,,
229,AZ,Pima County,4,19,11/25/2020,2,,,,
230,AZ,Pima County,4,19,11/26/2020,2,,,,
231,AZ,Pima County,4,19,11/27/2020,2,,,,
232,AZ,Pima County,4,19,11/28/2020,2,,,,
233,AZ,Pima County,4,19,11/29/2020,2,,,,
234,AZ,Pima County,4,19,11/30/2020,2,,,,
235,AZ,Pima County,4,19,12/1/2020,2,,,,
236,AZ,Pima County,4,19,12/2/2020,2,,,,
237,AZ,Pima County,4,19,12/3/2020,2,,,,
238,AZ,Pima County,4,19,12/4/2020,2,,,,
239,AZ,Pima County,4,19,12/5/2020,2,,,,
240,AZ,Pima County,4,19,12/6/2020,2,,,,
241,AZ,Pima County,4,19,12/7/2020,2,,,,
242,AZ,Pima County,4,19,12/8/2020,2,,,,
243,AZ,Pima County,4,19,12/9/2020,2,,,,
244,AZ,Pima County,4,19,12/10/2020,2,,,,
245,AZ,Pima County,4,19,12/11/2020,2,,,,
246,AZ,Pima County,4,19,12/12/2020,2,,,,
247,AZ,Pima County,4,19,12/13/2020,2,,,,
248,AZ,Pima County,4,19,12/14/2020,2,,,,
249,AZ,Pima County,4,19,12/15/2020,2,,,,
250,AZ,Pima County,4,19,12/16/2020,2,,,,
251,AZ,Pima County,4,19,12/17/2020,2,,,,
252,AZ,Pima County,4,19,12/18/2020,2,,,,
253,AZ,Pima County,4,19,12/19/2020,2,,,,
254,AZ,Pima County,4,19,12/20/2020,2,,,,
255,AZ,Pima County,4,19,12/21/2020,2,,,,
256,AZ,Pima County,4,19,12/22/2020,2,,,,
257,AZ,Pima County,4,19,12/23/2020,2,,,,
258,AZ,Pima County,4,19,12/24/2020,2,,,,
259,AZ,Pima County,4,19,12/25/2020,2,,,,
260,AZ,Pima County,4,19,12/26/2020,2,,,,
261,AZ,Pima County,4,19,12/27/2020,2,,,,
262,AZ,Pima County,4,19,12/28/2020,2,,,,
263,AZ,Pima County,4,19,12/29/2020,2,,,,
264,AZ,Pima County,4,19,12/30/2020,2,,,,
265,AZ,Pima County,4,19,12/31/2020,2,,,,
266,AZ,Pima County,4,19,1/1/2021,2,,,,
267,AZ,Pima County,4,19,1/2/2021,2,,,,
268,AZ,Pima County,4,19,1/3/2021,2,,,,
269,AZ,Pima County,4,19,1/4/2021,2,,,,
270,AZ,Pima County,4,19,1/5/2021,2,,,,
271,AZ,Pima County,4,19,1/6/2021,2,,,,
272,AZ,Pima County,4,19,1/7/2021,2,,,,
273,AZ,Pima County,4,19,1/8/2021,2,,,,
274,AZ,Pima County,4,19,1/9/2021,2,,,,
275,AZ,Pima County,4,19,1/10/2021,2,,,,
276,AZ,Pima County,4,19,1/11/2021,2,,,,
277,AZ,Pima County,4,19,1/12/2021,2,,,,
278,AZ,Pima County,4,19,1/13/2021,2,,,,
279,AZ,Pima County,4,19,1/14/2021,2,,,,
280,AZ,Pima County,4,19,1/15/2021,2,,,,
281,AZ,Pima County,4,19,1/16/2021,2,,,,
282,AZ,Pima County,4,19,1/17/2021,2,,,,
283,AZ,Pima County,4,19,1/18/2021,2,,,,
284,AZ,Pima County,4,19,1/19/2021,2,,,,
285,AZ,Pima County,4,19,1/20/2021,2,,,,
286,AZ,Pima County,4,19,1/21/2021,2,,,,
287,AZ,Pima County,4,19,1/22/2021,2,,,,
288,AZ,Pima County,4,19,1/23/2021,2,,,,
289,AZ,Pima County,4,19,1/24/2021,2,,,,
290,AZ,Pima County,4,19,1/25/2021,2,,,,
291,AZ,Pima County,4,19,1/26/2021,2,,,,
292,AZ,Pima County,4,19,1/27/2021,2,,,,
293,AZ,Pima County,4,19,1/28/2021,2,,,,
294,AZ,Pima County,4,19,1/29/2021,2,,,,
295,AZ,Pima County,4,19,1/30/2021,2,,,,
296,AZ,Pima County,4,19,1/31/2021,2,,,,
297,AZ,Pima County,4,19,2/1/2021,2,,,,
298,AZ,Pima County,4,19,2/2/2021,2,,,,
299,AZ,Pima County,4,19,2/3/2021,2,,,,
300,AZ,Pima County,4,19,2/4/2021,2,,,,
301,AZ,Pima County,4,19,2/5/2021,2,,,,
302,AZ,Pima County,4,19,2/6/2021,2,,,,
303,AZ,Pima County,4,19,2/7/2021,2,,,,
304,AZ,Pima County,4,19,2/8/2021,2,,,,
305,AZ,Pima County,4,19,2/9/2021,2,,,,
306,AZ,Pima County,4,19,2/10/2021,2,,,,
307,AZ,Pima County,4,19,2/11/2021,2,,,,
308,AZ,Pima County,4,19,2/12/2021,2,,,,
309,AZ,Pima County,4,19,2/13/2021,2,,,,
310,AZ,Pima County,4,19,2/14/2021,2,,,,
311,AZ,Pima County,4,19,2/15/2021,2,,,,
312,AZ,Pima County,4,19,2/16/2021,2,,,,
313,AZ,Pima County,4,19,2/17/2021,2,,,,
314,AZ,Pima County,4,19,2/18/2021,2,,,,
315,AZ,Pima County,4,19,2/19/2021,2,,,,
316,AZ,Pima County,4,19,2/20/2021,2,,,,
317,AZ,Pima County,4,19,2/21/2021,2,,,,
318,AZ,Pima County,4,19,2/22/2021,2,,,,
319,AZ,Pima County,4,19,2/23/2021,2,,,,
320,AZ,Pima County,4,19,2/24/2021,2,,,,
321,AZ,Pima County,4,19,2/25/2021,2,,,,
322,AZ,Pima County,4,19,2/26/2021,2,,,,
323,AZ,Pima County,4,19,2/27/2021,2,,,,
324,AZ,Pima County,4,19,2/28/2021,2,,,,
325,AZ,Pima County,4,19,3/1/2021,2,,,,
326,AZ,Pima County,4,19,3/2/2021,2,,,,
327,AZ,Pima County,4,19,3/3/2021,2,,,,
328,AZ,Pima County,4,19,3/4/2021,2,,,,
329,AZ,Pima County,4,19,3/5/2021,2,,,,
330,AZ,Pima County,4,19,3/6/2021,2,,,,
331,AZ,Pima County,4,19,3/7/2021,2,,,,
332,AZ,Pima County,4,19,3/8/2021,2,,,,
333,AZ,Pima County,4,19,3/9/2021,2,,,,
334,AZ,Pima County,4,19,3/10/2021,2,,,,
335,AZ,Pima County,4,19,3/11/2021,2,,,,
336,AZ,Pima County,4,19,3/12/2021,2,,,,
337,AZ,Pima County,4,19,3/13/2021,2,,,,
338,AZ,Pima County,4,19,3/14/2021,2,,,,
339,AZ,Pima County,4,19,3/15/2021,2,,,,
340,AZ,Pima County,4,19,3/16/2021,2,,,,
341,AZ,Pima County,4,19,3/17/2021,2,,,,
342,AZ,Pima County,4,19,3/18/2021,2,,,,
343,AZ,Pima County,4,19,3/19/2021,2,,,,
344,AZ,Pima County,4,19,3/20/2021,2,,,,
345,AZ,Pima County,4,19,3/21/2021,2,,,,
346,AZ,Pima County,4,19,3/22/2021,2,,,,
347,AZ,Pima County,4,19,3/23/2021,2,,,,
