,Province_State,FIPS,Combined_Key,Date,Confirmed_Cases,County_Name,order_code,Face_Masks_Required_in_Public
0,Arizona,4019,"Pima, Arizona, US",2020-01-22,0,,,
1,Arizona,4019,"Pima, Arizona, US",2020-01-23,0,,,
2,Arizona,4019,"Pima, Arizona, US",2020-01-24,0,,,
3,Arizona,4019,"Pima, Arizona, US",2020-01-25,0,,,
4,Arizona,4019,"Pima, Arizona, US",2020-01-26,0,,,
5,Arizona,4019,"Pima, Arizona, US",2020-01-27,0,,,
6,Arizona,4019,"Pima, Arizona, US",2020-01-28,0,,,
7,Arizona,4019,"Pima, Arizona, US",2020-01-29,0,,,
8,Arizona,4019,"Pima, Arizona, US",2020-01-30,0,,,
9,Arizona,4019,"Pima, Arizona, US",2020-01-31,0,,,
10,Arizona,4019,"Pima, Arizona, US",2020-02-01,0,,,
11,Arizona,4019,"Pima, Arizona, US",2020-02-02,0,,,
12,Arizona,4019,"Pima, Arizona, US",2020-02-03,0,,,
13,Arizona,4019,"Pima, Arizona, US",2020-02-04,0,,,
14,Arizona,4019,"Pima, Arizona, US",2020-02-05,0,,,
15,Arizona,4019,"Pima, Arizona, US",2020-02-06,0,,,
16,Arizona,4019,"Pima, Arizona, US",2020-02-07,0,,,
17,Arizona,4019,"Pima, Arizona, US",2020-02-08,0,,,
18,Arizona,4019,"Pima, Arizona, US",2020-02-09,0,,,
19,Arizona,4019,"Pima, Arizona, US",2020-02-10,0,,,
20,Arizona,4019,"Pima, Arizona, US",2020-02-11,0,,,
21,Arizona,4019,"Pima, Arizona, US",2020-02-12,0,,,
22,Arizona,4019,"Pima, Arizona, US",2020-02-13,0,,,
23,Arizona,4019,"Pima, Arizona, US",2020-02-14,0,,,
24,Arizona,4019,"Pima, Arizona, US",2020-02-15,0,,,
25,Arizona,4019,"Pima, Arizona, US",2020-02-16,0,,,
26,Arizona,4019,"Pima, Arizona, US",2020-02-17,0,,,
27,Arizona,4019,"Pima, Arizona, US",2020-02-18,0,,,
28,Arizona,4019,"Pima, Arizona, US",2020-02-19,0,,,
29,Arizona,4019,"Pima, Arizona, US",2020-02-20,0,,,
30,Arizona,4019,"Pima, Arizona, US",2020-02-21,0,,,
31,Arizona,4019,"Pima, Arizona, US",2020-02-22,0,,,
32,Arizona,4019,"Pima, Arizona, US",2020-02-23,0,,,
33,Arizona,4019,"Pima, Arizona, US",2020-02-24,0,,,
34,Arizona,4019,"Pima, Arizona, US",2020-02-25,0,,,
35,Arizona,4019,"Pima, Arizona, US",2020-02-26,0,,,
36,Arizona,4019,"Pima, Arizona, US",2020-02-27,0,,,
37,Arizona,4019,"Pima, Arizona, US",2020-02-28,0,,,
38,Arizona,4019,"Pima, Arizona, US",2020-02-29,0,,,
39,Arizona,4019,"Pima, Arizona, US",2020-03-01,0,,,
40,Arizona,4019,"Pima, Arizona, US",2020-03-02,0,,,
41,Arizona,4019,"Pima, Arizona, US",2020-03-03,0,,,
42,Arizona,4019,"Pima, Arizona, US",2020-03-04,0,,,
43,Arizona,4019,"Pima, Arizona, US",2020-03-05,0,,,
44,Arizona,4019,"Pima, Arizona, US",2020-03-06,0,,,
45,Arizona,4019,"Pima, Arizona, US",2020-03-07,0,,,
46,Arizona,4019,"Pima, Arizona, US",2020-03-08,0,,,
47,Arizona,4019,"Pima, Arizona, US",2020-03-09,0,,,
48,Arizona,4019,"Pima, Arizona, US",2020-03-10,1,,,
49,Arizona,4019,"Pima, Arizona, US",2020-03-11,1,,,
50,Arizona,4019,"Pima, Arizona, US",2020-03-12,1,,,
51,Arizona,4019,"Pima, Arizona, US",2020-03-13,1,,,
52,Arizona,4019,"Pima, Arizona, US",2020-03-14,2,,,
53,Arizona,4019,"Pima, Arizona, US",2020-03-15,2,,,
54,Arizona,4019,"Pima, Arizona, US",2020-03-16,4,,,
55,Arizona,4019,"Pima, Arizona, US",2020-03-17,4,,,
56,Arizona,4019,"Pima, Arizona, US",2020-03-18,5,,,
57,Arizona,4019,"Pima, Arizona, US",2020-03-19,7,,,
58,Arizona,4019,"Pima, Arizona, US",2020-03-20,8,,,
59,Arizona,4019,"Pima, Arizona, US",2020-03-21,12,,,
60,Arizona,4019,"Pima, Arizona, US",2020-03-22,17,,,
61,Arizona,4019,"Pima, Arizona, US",2020-03-23,24,,,
62,Arizona,4019,"Pima, Arizona, US",2020-03-24,42,,,
63,Arizona,4019,"Pima, Arizona, US",2020-03-25,49,,,
64,Arizona,4019,"Pima, Arizona, US",2020-03-26,75,,,
65,Arizona,4019,"Pima, Arizona, US",2020-03-27,102,,,
66,Arizona,4019,"Pima, Arizona, US",2020-03-28,120,,,
67,Arizona,4019,"Pima, Arizona, US",2020-03-29,153,,,
68,Arizona,4019,"Pima, Arizona, US",2020-03-30,187,,,
69,Arizona,4019,"Pima, Arizona, US",2020-03-31,202,,,
70,Arizona,4019,"Pima, Arizona, US",2020-04-01,217,,,
71,Arizona,4019,"Pima, Arizona, US",2020-04-02,237,,,
72,Arizona,4019,"Pima, Arizona, US",2020-04-03,280,,,
73,Arizona,4019,"Pima, Arizona, US",2020-04-04,326,,,
74,Arizona,4019,"Pima, Arizona, US",2020-04-05,372,,,
75,Arizona,4019,"Pima, Arizona, US",2020-04-06,415,,,
76,Arizona,4019,"Pima, Arizona, US",2020-04-07,415,,,
77,Arizona,4019,"Pima, Arizona, US",2020-04-08,464,,,
78,Arizona,4019,"Pima, Arizona, US",2020-04-09,512,,,
79,Arizona,4019,"Pima, Arizona, US",2020-04-10,543,Pima County,2.0,
80,Arizona,4019,"Pima, Arizona, US",2020-04-11,591,Pima County,2.0,
81,Arizona,4019,"Pima, Arizona, US",2020-04-12,622,Pima County,2.0,
82,Arizona,4019,"Pima, Arizona, US",2020-04-13,668,Pima County,2.0,
83,Arizona,4019,"Pima, Arizona, US",2020-04-14,685,Pima County,2.0,
84,Arizona,4019,"Pima, Arizona, US",2020-04-15,700,Pima County,2.0,
85,Arizona,4019,"Pima, Arizona, US",2020-04-16,760,Pima County,2.0,
86,Arizona,4019,"Pima, Arizona, US",2020-04-17,819,Pima County,2.0,
87,Arizona,4019,"Pima, Arizona, US",2020-04-18,856,Pima County,2.0,
88,Arizona,4019,"Pima, Arizona, US",2020-04-19,913,Pima County,2.0,
89,Arizona,4019,"Pima, Arizona, US",2020-04-20,941,Pima County,2.0,
90,Arizona,4019,"Pima, Arizona, US",2020-04-21,963,Pima County,2.0,
91,Arizona,4019,"Pima, Arizona, US",2020-04-22,973,Pima County,2.0,
92,Arizona,4019,"Pima, Arizona, US",2020-04-23,1026,Pima County,2.0,
93,Arizona,4019,"Pima, Arizona, US",2020-04-24,1060,Pima County,2.0,
94,Arizona,4019,"Pima, Arizona, US",2020-04-25,1090,Pima County,2.0,
95,Arizona,4019,"Pima, Arizona, US",2020-04-26,1136,Pima County,2.0,
96,Arizona,4019,"Pima, Arizona, US",2020-04-27,1164,Pima County,2.0,
97,Arizona,4019,"Pima, Arizona, US",2020-04-28,1188,Pima County,2.0,
98,Arizona,4019,"Pima, Arizona, US",2020-04-29,1215,Pima County,2.0,
99,Arizona,4019,"Pima, Arizona, US",2020-04-30,1241,Pima County,2.0,
100,Arizona,4019,"Pima, Arizona, US",2020-05-01,1267,Pima County,2.0,
101,Arizona,4019,"Pima, Arizona, US",2020-05-02,1300,Pima County,2.0,
102,Arizona,4019,"Pima, Arizona, US",2020-05-03,1326,Pima County,2.0,
103,Arizona,4019,"Pima, Arizona, US",2020-05-04,1346,Pima County,2.0,
104,Arizona,4019,"Pima, Arizona, US",2020-05-05,1379,Pima County,2.0,
105,Arizona,4019,"Pima, Arizona, US",2020-05-06,1425,Pima County,2.0,
106,Arizona,4019,"Pima, Arizona, US",2020-05-07,1465,Pima County,2.0,
107,Arizona,4019,"Pima, Arizona, US",2020-05-08,1520,Pima County,2.0,
108,Arizona,4019,"Pima, Arizona, US",2020-05-09,1554,Pima County,2.0,
109,Arizona,4019,"Pima, Arizona, US",2020-05-10,1585,Pima County,2.0,
110,Arizona,4019,"Pima, Arizona, US",2020-05-11,1602,Pima County,2.0,
111,Arizona,4019,"Pima, Arizona, US",2020-05-12,1623,Pima County,2.0,
112,Arizona,4019,"Pima, Arizona, US",2020-05-13,1661,Pima County,2.0,
113,Arizona,4019,"Pima, Arizona, US",2020-05-14,1696,Pima County,2.0,
114,Arizona,4019,"Pima, Arizona, US",2020-05-15,1750,Pima County,2.0,
115,Arizona,4019,"Pima, Arizona, US",2020-05-16,1781,Pima County,2.0,
116,Arizona,4019,"Pima, Arizona, US",2020-05-17,1814,Pima County,2.0,
117,Arizona,4019,"Pima, Arizona, US",2020-05-18,1825,Pima County,2.0,
118,Arizona,4019,"Pima, Arizona, US",2020-05-19,1888,Pima County,2.0,
119,Arizona,4019,"Pima, Arizona, US",2020-05-20,1903,Pima County,2.0,
120,Arizona,4019,"Pima, Arizona, US",2020-05-21,1944,Pima County,2.0,
121,Arizona,4019,"Pima, Arizona, US",2020-05-22,1974,Pima County,2.0,
122,Arizona,4019,"Pima, Arizona, US",2020-05-23,2002,Pima County,2.0,
123,Arizona,4019,"Pima, Arizona, US",2020-05-24,2027,Pima County,2.0,
124,Arizona,4019,"Pima, Arizona, US",2020-05-25,2046,Pima County,2.0,
125,Arizona,4019,"Pima, Arizona, US",2020-05-26,2075,Pima County,2.0,
126,Arizona,4019,"Pima, Arizona, US",2020-05-27,2119,Pima County,2.0,
127,Arizona,4019,"Pima, Arizona, US",2020-05-28,2167,Pima County,2.0,
128,Arizona,4019,"Pima, Arizona, US",2020-05-29,2234,Pima County,2.0,
129,Arizona,4019,"Pima, Arizona, US",2020-05-30,2290,Pima County,2.0,
130,Arizona,4019,"Pima, Arizona, US",2020-05-31,2368,Pima County,2.0,
131,Arizona,4019,"Pima, Arizona, US",2020-06-01,2382,Pima County,2.0,
132,Arizona,4019,"Pima, Arizona, US",2020-06-02,2496,Pima County,2.0,
133,Arizona,4019,"Pima, Arizona, US",2020-06-03,2627,Pima County,2.0,
134,Arizona,4019,"Pima, Arizona, US",2020-06-04,2669,Pima County,2.0,
135,Arizona,4019,"Pima, Arizona, US",2020-06-05,2883,Pima County,2.0,
136,Arizona,4019,"Pima, Arizona, US",2020-06-06,2950,Pima County,2.0,
137,Arizona,4019,"Pima, Arizona, US",2020-06-07,3098,Pima County,2.0,
138,Arizona,4019,"Pima, Arizona, US",2020-06-08,3154,Pima County,2.0,
139,Arizona,4019,"Pima, Arizona, US",2020-06-09,3161,Pima County,2.0,
140,Arizona,4019,"Pima, Arizona, US",2020-06-10,3350,Pima County,2.0,
141,Arizona,4019,"Pima, Arizona, US",2020-06-11,3479,Pima County,2.0,
142,Arizona,4019,"Pima, Arizona, US",2020-06-12,3628,Pima County,2.0,
143,Arizona,4019,"Pima, Arizona, US",2020-06-13,3889,Pima County,2.0,
144,Arizona,4019,"Pima, Arizona, US",2020-06-14,3910,Pima County,2.0,
145,Arizona,4019,"Pima, Arizona, US",2020-06-15,3944,Pima County,2.0,
146,Arizona,4019,"Pima, Arizona, US",2020-06-16,4329,Pima County,2.0,
147,Arizona,4019,"Pima, Arizona, US",2020-06-17,4385,Pima County,2.0,
148,Arizona,4019,"Pima, Arizona, US",2020-06-18,4682,Pima County,2.0,
149,Arizona,4019,"Pima, Arizona, US",2020-06-19,5019,Pima County,2.0,
150,Arizona,4019,"Pima, Arizona, US",2020-06-20,5313,Pima County,2.0,
151,Arizona,4019,"Pima, Arizona, US",2020-06-21,5370,Pima County,2.0,
152,Arizona,4019,"Pima, Arizona, US",2020-06-22,5587,Pima County,2.0,
153,Arizona,4019,"Pima, Arizona, US",2020-06-23,6089,Pima County,2.0,
154,Arizona,4019,"Pima, Arizona, US",2020-06-24,6318,Pima County,2.0,
155,Arizona,4019,"Pima, Arizona, US",2020-06-25,6546,Pima County,2.0,
156,Arizona,4019,"Pima, Arizona, US",2020-06-26,6836,Pima County,2.0,
157,Arizona,4019,"Pima, Arizona, US",2020-06-27,7086,Pima County,2.0,
158,Arizona,4019,"Pima, Arizona, US",2020-06-28,7525,Pima County,2.0,
159,Arizona,4019,"Pima, Arizona, US",2020-06-29,7568,Pima County,2.0,
160,Arizona,4019,"Pima, Arizona, US",2020-06-30,8004,Pima County,2.0,
161,Arizona,4019,"Pima, Arizona, US",2020-07-01,8387,Pima County,2.0,
162,Arizona,4019,"Pima, Arizona, US",2020-07-02,8577,Pima County,2.0,
163,Arizona,4019,"Pima, Arizona, US",2020-07-03,9024,Pima County,2.0,
164,Arizona,4019,"Pima, Arizona, US",2020-07-04,9313,Pima County,2.0,
165,Arizona,4019,"Pima, Arizona, US",2020-07-05,9621,Pima County,2.0,
166,Arizona,4019,"Pima, Arizona, US",2020-07-06,9873,Pima County,2.0,
167,Arizona,4019,"Pima, Arizona, US",2020-07-07,10184,Pima County,2.0,
